Date Opened,Time Opened,Opening Price,Legs,Premium,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close,P/L,No. of Contracts,Funds at Close,Margin Req.,Strategy,Opening Short/Long Ratio,Closing Short/Long Ratio,Gap,Movement,Max Profit,Max Loss
"2023-01-06","15:50:00",388.48,"6 Jan 9 390 C BTO 1.03 | 12 Jan 9 387 C STO 2.60 | 6 Jan 9 384 C BTO 5.05",-90,388.95,"2023-01-09","15:00:00",-110,"Exited at Specified Time",120,6,2024,540,"",0.86,0.78,3.21,5.87,24.44,-97.78
"2023-01-04","15:50:00",382.18,"3 Jan 5 384 C BTO 0.94 | 6 Jan 5 381 C STO 2.42 | 3 Jan 5 378 C BTO 5.28",-140,380.86,"2023-01-05","14:13:00",-161,"Profit Target",63,3,1904,420,"",0.78,0.45,2.34,-1,16.43,-54.29
"2023-01-03","15:50:00",380.86,"5 Jan 4 383 C BTO 1.19 | 10 Jan 4 380 C STO 2.56 | 5 Jan 4 377 C BTO 4.91",-100,381.39,"2023-01-04","14:33:00",-123,"Profit Target",115,5,1841,500,"",0.84,0.74,1.93,-3.51,25,-94
"2022-12-30","15:50:00",381.91,"6 Jan 3 384 C BTO 1.08 | 12 Jan 3 381 C STO 2.53 | 6 Jan 3 378 C BTO 4.60",-64,385.28,"2023-01-03","09:45:00",-131,"Profit Target",402,6,1726,384,"",0.89,0.86,-2.75,1.27,107.81,-54.69
"2022-12-29","15:50:00",383.85,"4 Dec 30 386 C BTO 0.75 | 8 Dec 30 383 C STO 2.08 | 4 Dec 30 380 C BTO 4.22",-83,381.28,"2022-12-30","09:34:00",-98,"Profit Target",60,4,1324,332,"",0.84,0.58,2.95,4.22,20.48,0
"2022-12-28","15:50:00",376.98,"6 Dec 29 379 C BTO 0.94 | 12 Dec 29 376 C STO 2.45 | 6 Dec 29 373 C BTO 4.73",-79,383.53,"2022-12-29","15:00:00",1,"Exited at Specified Time",-480,6,1264,474,"",0.86,1,-0.06,-4.35,0,-100
"2022-12-27","15:50:00",381.9,"5 Dec 28 384 C BTO 0.71 | 10 Dec 28 381 C STO 2.07 | 5 Dec 28 378 C BTO 4.28",-87,382,"2022-12-28","09:53:00",-101,"Profit Target",70,5,1744,435,"",0.83,0.78,-0.11,-0.89,18.39,-12.64
"2022-12-23","15:50:00",382.55,"5 Dec 27 385 C BTO 0.77 | 10 Dec 27 382 C STO 2.09 | 5 Dec 27 379 C BTO 4.31",-92,381.26,"2022-12-27","10:15:00",-107,"Profit Target",75,5,1674,460,"",0.82,0.63,-1.11,2.9,18.48,-16.3
"2022-12-22","15:50:00",379.73,"6 Dec 23 382 C BTO 0.99 | 12 Dec 23 379 C STO 2.37 | 6 Dec 23 376 C BTO 4.42",-69,379.26,"2022-12-23","09:36:00",-80,"Profit Target",66,6,1599,414,"",0.88,0.82,-3.18,-3.32,18.84,-7.25
"2022-12-21","15:50:00",386.05,"7 Dec 22 388 C BTO 0.81 | 14 Dec 22 385 C STO 2.25 | 7 Dec 22 382 C BTO 4.56",-89,378.48,"2022-12-22","15:00:00",-2,"Exited at Specified Time",-609,7,1533,623,"",0.84,0.33,2.73,2.8,2.25,-100
"2022-12-20","15:50:00",381.35,"9 Dec 21 383 C BTO 0.99 | 18 Dec 21 380 C STO 2.53 | 9 Dec 21 377 C BTO 5.02",-97,386.1,"2022-12-21","15:00:00",-1,"Exited at Specified Time",-864,9,2142,873,"",0.84,1,-0.75,2.12,0,-100
"2022-12-19","15:50:00",379.29,"10 Dec 20 381 C BTO 1.03 | 20 Dec 20 378 C STO 2.54 | 10 Dec 20 375 C BTO 4.85",-82,378.38,"2022-12-20","09:50:00",-97,"Profit Target",150,10,3006,820,"",0.86,0.77,0.17,-4.18,20.73,-18.29
"2022-12-16","15:50:00",384.26,"9 Dec 19 386 C BTO 1.40 | 18 Dec 19 383 C STO 2.87 | 9 Dec 19 380 C BTO 5.16",-84,382.8,"2022-12-19","09:36:00",-98,"Profit Target",126,9,2856,756,"",0.88,0.73,-4.47,-0.92,19.05,-41.67
"2022-12-15","15:50:00",389.11,"9 Dec 16 391 C BTO 0.94 | 18 Dec 16 388 C STO 2.01 | 9 Dec 16 385 C BTO 4.27",-121,382.94,"2022-12-16","15:00:00",-19,"Exited at Specified Time",-918,9,2730,1089,"",0.77,0.28,-5.11,-5.19,0,-94.21
"2022-12-14","15:50:00",399.57,"18 Dec 15 402 C BTO 1.31 | 36 Dec 15 399 C STO 2.71 | 18 Dec 15 396 C BTO 4.64",-55,400.34,"2022-12-14","15:51:00",-65,"Profit Target",180,18,3648,990,"",0.91,0.9,-0.34,-2.04,21.82,0
"2022-12-13","15:50:00",401.95,"28 Dec 14 404 C BTO 2.94 | 56 Dec 14 401 C STO 4.40 | 28 Dec 14 398 C BTO 6.18",-34,404.94,"2022-12-14","13:59:00",-44,"Profit Target",280,28,3468,952,"",0.96,0.96,11.31,-8.27,35.29,-11.76
"2022-12-12","15:50:00",398.11,"31 Dec 13 400 C BTO 3.83 | 62 Dec 13 397 C STO 5.36 | 31 Dec 13 394 C BTO 7.15",-28,402.65,"2022-12-13","11:49:00",-35,"Profit Target",217,31,3188,868,"",0.98,0.97,0.82,4,32.14,-92.86
"2022-12-09","15:50:00",394.03,"11 Dec 12 396 C BTO 0.92 | 22 Dec 12 393 C STO 2.39 | 11 Dec 12 390 C BTO 4.59",-75,394.23,"2022-12-12","09:32:00",-91,"Profit Target",176,11,2971,825,"",0.87,0.81,-1.27,-0.91,24,0
"2022-12-08","15:50:00",395.34,"17 Dec 9 397 C BTO 1.32 | 34 Dec 9 394 C STO 2.83 | 17 Dec 9 391 C BTO 4.73",-41,395.13,"2022-12-08","15:51:00",-65,"Profit Target",408,17,2795,697,"",0.94,0.89,1.99,0.2,63.41,0
"2022-12-07","15:50:00",392.86,"8 Dec 8 395 C BTO 0.93 | 16 Dec 8 392 C STO 2.34 | 8 Dec 8 389 C BTO 4.85",-112,395.54,"2022-12-08","15:00:00",-30,"Exited at Specified Time",-656,8,2387,896,"",0.81,0.96,-0.92,-0.08,0,-93.75
"2022-12-06","15:50:00",394.02,"10 Dec 7 396 C BTO 0.92 | 20 Dec 7 393 C STO 2.32 | 10 Dec 7 390 C BTO 4.50",-80,393.01,"2022-12-07","09:52:00",-94,"Profit Target",140,10,3043,800,"",0.86,0.76,-0.19,-5.4,20,-12.5
